wavenumer,ExptAbs,fitAbs,1_Anchor,2_PrimaryAmide(NH2),4_Core_Beta,5_PPII_Coil,6_Beta_Turn,7_PrimaryAmide(C=O),8_High_Beta
1685.0,0.0032499999999999994,0.0035514718760923333,1.1310629565117982e-24,1.8391393219236987e-23,2.2387056747663147e-10,5.807639741953734e-05,0.0005892542371944373,0.0028298128383215187,7.432817928627219e-05
1684.0,0.004877142857142856,0.0047308414533964735,3.649377672057965e-24,7.969837627900461e-23,3.9840694295701186e-10,7.565125200856534e-05,0.0007401942562748036,0.0038600668215498326,5.492872515632894e-05
1683.0,0.006504285714285714,0.006102844219945968,1.161262347301858e-23,3.369622196694297e-22,7.027545690022345e-10,9.793925466756167e-05,0.000916997623123946,0.0050495037806547296,3.840285874516177e-05
1682.0,0.007731428571428571,0.0076064115413782924,3.6443609249520954e-23,1.3899841262696864e-21,1.2286476073119089e-09,0.00012601484012885058,0.0011203925485419686,0.006334602229014215,2.540069504565141e-05
1681.0,0.008958571428571427,0.009148003960843495,1.1279553819259508e-22,5.5941661915881934e-21,2.1291089337191876e-09,0.0001611427661132054,0.001350055791294242,0.007620908818765551,1.5894455561562304e-05
1680.0,0.010385714285714285,0.010611081739591735,3.4430391633388833e-22,2.1966344039619223e-20,3.656918713715191e-09,0.00020479726815921586,0.0016044002579536426,0.008792471117741346,9.40943881881735e-06
1679.0,0.011812857142857142,0.011872555230274327,1.0365052523481452e-21,8.415445111541366e-20,6.225577060818603e-09,0.00025867933000974766,0.0018804129468550513,0.009728186859076355,5.269868756113312e-06
1678.0,0.01294,0.012823238817735963,3.077375941683056e-21,3.145526117627414e-19,1.050487287640783e-08,0.0003247308273719188,0.0021735680661073204,0.010322137172040434,2.7922473434136465e-06
1677.0,0.013467142857142856,0.01338765852141759,9.010919375487323e-21,1.1471135049240495e-18,1.7569073950194738e-08,0.00040514411425031317,0.0024778371475252872,0.010503260019505942,1.3996710620962367e-06
1676.0,0.013594285714285713,0.013538197817079956,2.6021789305612397e-20,4.081467882216071e-18,2.912418775234537e-08,0.0005023654605386515,0.002785811820918986,0.010249327643770784,6.63767663778285e-07
1675.0,0.013321428571428571,0.013299813103528357,7.411134771046468e-20,1.4168480189671664e-17,4.78526127322664e-08,0.000619090634546551,0.003088945862086489,0.00959143095461444,2.9779966813017895e-07
1674.0,0.012748571428571429,0.012744088503344285,2.0816694485491854e-19,4.7987380611412427e-17,7.792994498471576e-08,0.0007582508734691342,0.003377911906207802,0.008607721392772383,1.2640094993485986e-07
1673.0,0.011975714285714286,0.011974370040000938,5.766580092612983e-19,1.5857244238238487e-16,1.257911147706048e-07,0.0009229875176926969,0.0036430559763907223,0.007408149997974235,5.075682835512736e-08
1672.0,0.01100285714285714,0.011106074541414938,1.5754491526167927e-18,5.112405336593959e-16,2.0125303746398838e-07,0.0011166137195179658,0.0038749211715998723,0.0061143191150572415,1.928220188066101e-08
